EE ID,SAP,ASSET TAG," Host Name"," MAC Address"," EMPLOYEE NAME",STATUS,Month,Year,DEPLOYED DATE," POSITION",BUSINESS UNIT,Operating System,Storage Location,REVISED MODEL 1," DESCRIPTION",SERIAL NO.,ACQUISITION DATE,WARRANTY EXPIRE,ACQUISITION COST,PURCHASED PRICE,ACCOUNTABILITY FORM,PO# / SI#,LAST USER,VENDOR NAME,
05-06943,100565,100566,100566,0871901D2DF6,"DEL ROSARIO, CHARLENE LOPEZ",Deployed,January,2026,"Jan 16, 2026",Application Support Specialist (Linguist),Client Based New Biz,Windows,,LENOVO THINKPAD E14 i7," Lenovo E14, Gen 6, Ultra 7, 16GB RAM, 1TB SSD",PF-J47VA0,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_DEL_ROSARIO__CHARLENE_LOPEZ.pdf,PO 4700001920,"PASCUAL, GABRIEL FLORES",MICRO PACIFIC TECHNOLIGIE,
05-03193,100566,100567,100567,087190CAEC8B,"MARQUEZ, CAMILLE FERNANDEZ",Deployed,January,2026,"Jan 9, 2026",Penetration Tester,Technology Group,Windows,,LENOVO THINKPAD E14 i7," Lenovo E14, Gen 6, Ultra 7, 16GB RAM, 1TB SSD",PF-KRJBRM,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,"PANGANIBAN, BIANCA FERNANDEZ",MICRO PACIFIC TECHNOLIGIE,
05-01706,100567,100568,100568,0871903D03B4,"DE LEON, DANIEL JOSEPH VILLANUEVA",Deployed,May,2025,"May 14, 2025",SOC Manager,Technology Group,Windows,,LENOVO THINKPAD E14 i7," Lenovo E14, Gen 6, Ultra 7, 16GB RAM, 1TB SSD",PF-18GVVB,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-06956,100568,100569,100569,087190787407,"SALAZAR, VINCENT MENDOZA",Deployed,April,2026,"Apr 24, 2026",Automation Engineer,Delivery Group,Windows,,LENOVO THINKPAD E14 i7," Lenovo E14, Gen 6, Ultra 7, 16GB RAM, 1TB SSD",PF-SCYW8G,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,"DELA CRUZ, ANGELA MAE BAUTISTA",MICRO PACIFIC TECHNOLIGIE,
05-06878,100569,100570,100570,087190B5C56C,"GONZALES, KATHERINE ROSE MENDOZA",Deployed,April,2025,"Apr 21, 2025",Sr. Data Insights Analyst,Client Based Globe,Windows,,LENOVO THINKPAD E14 i7," Lenovo E14, Gen 6, Ultra 7, 16GB RAM, 1TB SSD",PF-JDDXD6,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_GONZALES__KATHERINE_ROSE_MENDOZA.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-06954,100570,100571,100571,0871901A6855,"ALCANTARA, ALYSSA MARIE RAMOS",Deployed,April,2026,"Apr 10, 2026",Application Support Specialist,Technology Group,Windows,,LENOVO THINKPAD E14 i7," Lenovo E14, Gen 6, Ultra 7, 16GB RAM, 1TB SSD",PF-KKGAAP,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_ALCANTARA__ALYSSA_MARIE_RAMOS.pdf,PO 4700001920,"AGUILAR, KATHERINE ROSE DELA CRUZ",MICRO PACIFIC TECHNOLIGIE,
05-03168,100571,100572,100572,0871900541FD,"DAVID, LOVELY CASTILLO",Deployed,April,2025,"Apr 25, 2025",DevOps Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-LS7T4H,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_DAVID__LOVELY_CASTILLO.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01819,100572,100573,100573,08719080BBF6,"GUTIERREZ, DANIEL JOSEPH CRUZ",Deployed,May,2025,"May 28, 2025",Sr. Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-CTUVF8,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02468,100573,100574,100574,087190EDC8AB,"CORPUZ, ROCHELLE RAMOS",Deployed,May,2025,"May 21, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-CMR6WK,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-06880,100574,100575,100575,087190500075,"NATIVIDAD, BIANCA RAMOS",Deployed,April,2025,"Apr 25, 2025",Senior Data Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-81XGW9,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_NATIVIDAD__BIANCA_RAMOS.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01797,100575,100576,100576,087190B97E43,"DAVID, SOFIA CASTILLO",Deployed,May,2025,"May 14, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-RVJ6NK,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01813,100576,100577,100577,0871901CF511,"CABRERA, MICHAEL ANGELO CRUZ",Deployed,May,2025,"May 14, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-X8XDQR,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02468,100577,100578,100578,087190B53EB8,"CABRERA, CHRISTINE JOY MENDOZA",Deployed,August,2025,"May 20, 2025",Sr. Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-JVKBX3,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01094,100578,100579,100579,08719083D686,"GUTIERREZ, KEVIN FLORES",Deployed,August,2025,"Aug 1, 2025",Financial Reporting and Tax Lead,Finance,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-CEESAB,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_GUTIERREZ__KEVIN_FLORES.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02474,100579,100580,100580,0871903B86BD,"OCAMPO, JOSHUA AQUINO",Deployed,November,2025,"Nov 7, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-KM7RP1,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03126,100580,100581,100581,087190B45DB1,"DE LEON, FRANCIS BAUTISTA",Deployed,November,2025,"Nov 4, 2025",Jr. QA Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-88JCNC,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01815,100581,100582,100582,08719059FF2E,"MIRANDA, GABRIEL CRUZ",Deployed,May,2025,"May 20, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-8F67QD,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01819,100582,100583,100583,087190638CAB,"FERNANDEZ, RAFAEL TORRES",Deployed,May,2025,"May 20, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-16S7JV,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01819,100583,100584,100584,087190B66743,"MERCADO, JOSHUA CRUZ",Deployed,May,2025,"May 20, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-C02E7B,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02315,100584,100585,100585,087190652357,"BERNARDO, FRANCIS BAUTISTA",Deployed,May,2025,"May 20, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-0RZVM1,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01816,100585,100586,100586,087190F2CED6,"TOLENTINO, ANGELO FLORES",Deployed,May,2025,"May 19, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-SQK5UE,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-07431,100586,100587,100587,087190D34097,"SERRANO, FRANCIS AQUINO",Deployed,May,2026,"May 11, 2026",QA Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-JB6ATM,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,"LAXAMANA, KATHERINE ROSE FERNANDEZ",MICRO PACIFIC TECHNOLIGIE,
05-06941,100587,100588,100588,087190325254,"MENDOZA, CHARLENE AQUINO",Deployed,December,2025,"Dec 12, 2025",Jr. Application Support Specialist (Linguist),Client Based New Biz,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-F5AT1B,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_MENDOZA__CHARLENE_AQUINO.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02313,100588,100589,100589,087190D9BEBB,"GARCIA, CAMILLE LOPEZ",Deployed,May,2025,"May 19, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-ZB33DX,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01816,100589,100590,100590,0871906587D8,"ESGUERRA, VINCENT LOPEZ",Deployed,May,2025,"May 19, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-1U9TH9,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01794,100590,100591,100591,0871909C3785,"RAMOS, GABRIEL CASTILLO",Deployed,May,2025,"May 19, 2025",Systems Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-JTQ96E,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-06943,100591,100592,100592,08719018F130,"ALCANTARA, ANGELO MENDOZA",Deployed,January,2026,"Jan 9, 2026",Application Support Specialist (Linguist),Client Based New Biz,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-9F7KP2,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_ALCANTARA__ANGELO_MENDOZA.pdf,PO 4700001920,"MARQUEZ, ADRIAN TORRES",MICRO PACIFIC TECHNOLIGIE,
05-02451,100592,100593,100593,0871906CD348,"EVANGELISTA, ERIKA BAUTISTA",Deployed,May,2025,"May 29, 2025",Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-YBRVVE,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01702,100593,100594,100594,087190DAF8F2,"TOLENTINO, PAULO MIGUEL MERCADO",Deployed,May,2025,"May 9, 2025",Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-ZSD48B,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03057,100594,100595,100595,08719086A391,"MORALES, GABRIEL FLORES",Deployed,April,2025,"Apr 30, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-7NC64R,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01662,100595,100596,100596,08719014159C,"PASCUAL, DOMINIC FLORES",Deployed,May,2025,"May 14, 2025",SOC Service Manager,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-JQX69K,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03057,100596,100597,100597,087190C2A935,"MENDOZA, KATHERINE ROSE TORRES",Deployed,May,2025,"Apr 23, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-BS4DN5,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03102,100597,100598,100598,087190CDF0B0,"DAVID, PAULO MIGUEL DELA CRUZ",Deployed,May,2025,"May 6, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-AUZ4PW,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03055,100598,100599,100599,0871900780BA,"MAGNO, CARLO MERCADO",Deployed,May,2025,"May 6, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-SVGJQE,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01069,100599,100600,100600,0871906A5461,"DAVID, VINCENT BAUTISTA",Deployed,April,2025,"Apr 30, 2025",Sr. Platform Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-VGL4DA,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01794,100600,100601,100601,087190063A5A,"PASCUAL, DOMINIC SANTOS",Deployed,June,2025,"Jun 13, 2025",Sr. Software Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-YZV1TK,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02493,100601,100602,100602,0871903AC478,"SORIANO, PATRICIA ANNE TORRES",Deployed,May,2025,"May 7, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-KZFF1Y,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02514,100602,100603,100603,087190F274E7,"GARCIA, FRANCIS MERCADO",Deployed,May,2025,"May 7, 2025",Platform Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-8EJ3QN,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_GARCIA__FRANCIS_MERCADO.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01701,100603,100604,100604,0871901D9ABC,"PASCUAL, CARLO GARCIA",Deployed,September,2025,"Sep 19, 2025",Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-8WQ6VE,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-06886,100604,100605,100605,0871903F1410,"ATIENZA, SOFIA CASTILLO",Deployed,August,2025,"Aug 1, 2025",Network Engineer (VoIP),Client Based New Biz,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-KW56NL,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01071,100605,100606,100606,087190CB3082,"DAVID, CHRISTIAN VILLANUEVA",Deployed,October,2025,"Oct 2, 2025",L3 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-SHVA3G,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02401,100606,100607,100607,0871907C0FF7,"DOMINGO, FRANCIS TORRES",Deployed,October,2025,"Oct 22, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-TB07G2,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03168,100607,100608,100608,087190150DE3,"MARQUEZ, DOMINIC BAUTISTA",Deployed,June,2025,"Jun 13, 2025",Penetration Tester,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-ZRH2F3,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_MARQUEZ__DOMINIC_BAUTISTA.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02490,100608,100609,100609,087190528A98,"LAXAMANA, ALYSSA MARIE CASTILLO",Deployed,May,2025,"May 21, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-840UDS,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03056,100609,100610,100610,08719051C853,"MERCADO, STEPHANIE VILLANUEVA",Deployed,May,2025,"May 14, 2025",L2 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-J9Q3XJ,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01771,100610,100611,100611,0871900407B6,"DEL ROSARIO, KENNETH RIVERA",Deployed,May,2025,"May 7, 2025",L2 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-SGXLC3,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_DEL_ROSARIO__KENNETH_RIVERA.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02492,100611,100612,100612,08719054C468,"MALABANAN, BIANCA BAUTISTA",Deployed,October,2025,"Oct 2, 2025",Software Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-9M0PG1,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,"FRANCISCO, JASMIN RAMOS",MICRO PACIFIC TECHNOLIGIE,
05-02513,100612,100613,100613,087190A385EE,"CASTRO, PATRICIA ANNE FERNANDEZ",Deployed,May,2025,"May 5, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-BMLVBY,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02469,100613,100614,100614,087190133E5C,"MERCADO, BEATRICE MERCADO",Deployed,May,2025,"May 28, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-JQHASX,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03168,100614,100615,100615,087190C55C1F,"ILAGAN, STEPHANIE CRUZ",Deployed,June,2025,"Jun 20, 2025",Penetration Tester,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-BEU1SL,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_ILAGAN__STEPHANIE_CRUZ.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01795,100615,100616,100616,087190BF8FAD,"MERCADO, GABRIEL MENDOZA",Deployed,May,2025,"May 21, 2025",TSE Lead,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-983HL7,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01773,100616,100617,100617,087190194537,"MALABANAN, ALEXANDER GARCIA",Deployed,April,2025,"Apr 30, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-JFQUYT,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03037,100617,100618,100618,0871905AA73C,"GONZALES, DANIEL JOSEPH MENDOZA",Deployed,May,2025,"May 7, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-89U9EC,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_GONZALES__DANIEL_JOSEPH_MENDOZA.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01120,100618,100619,100619,087190BF18DD,"VALDEZ, DENISE LOPEZ",Deployed,July,2026,"Jul 10, 2026",Sr. Technical Support Specialist,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-JLPVLM,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,"MANALANG, DOMINIC SANTOS",MICRO PACIFIC TECHNOLIGIE,
05-03102,100619,100620,100620,08719055A013,"BAUTISTA, ANDREA GAIL FLORES",Deployed,April,2025,"Apr 30, 2025",L1 Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-8SUSKX,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02359,100620,100621,100621,Pending,"GARCIA, VINCENT SANTOS",Deployed,February,2026,"Feb 27, 2026",Software Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-LALVCD,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_GARCIA__VINCENT_SANTOS.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-03089,100621,100622,100622,087190C2C1D0,"PANGANIBAN, MARCO DELA CRUZ",Deployed,May,2025,"May 2, 2025",Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-0ZALHB,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-01701,100622,100623,100623,087190B910AA,"MERCADO, STEPHANIE VILLANUEVA",Deployed,May,2025,"May 7, 2025",Support Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-8P6AH2,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_MERCADO__STEPHANIE_VILLANUEVA.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-06951,100623,100624,100624,0871901A993E,"GONZALES, KATHERINE ROSE DELA CRUZ",Deployed,February,2026,"Feb 27, 2026",Campaign Assurance Analyst,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-LMMYVM,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_GONZALES__KATHERINE_ROSE_DELA_CRUZ.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
05-02514,100624,100625,100625,087190B309AA,"MERCADO, ERIKA RIVERA",Deployed,January,2026,"Jan 27, 2026",Software Engineer,Technology Group,Windows,,LENOVO THINKPAD E14 i7,"LENOVO E14, GEN 6, ULTRA 7, 16GB RAM, 1TB SSD",PF-83DCW4,"Apr 2, 2025","Apr 2, 2028","  61,607.14 ","3,080.36",ACCF_MERCADO__ERIKA_RIVERA.pdf,PO 4700001920,,MICRO PACIFIC TECHNOLIGIE,
