xr,EE Name,Laptop Description,Asset Tag,Serial Number,,Laptop Hostname,Host Name,MAC Address,Remarks,ADDRESS,Contact No.,Status,Tech POC,Updated to Master Tracker (Yes or No),,,,,
05-01795,"CASTRO, PATRICIA ANNE TORRES",REFRESH - Acer (New),YONDU102422,SN-VP4U89,,YONDU102422,YONDU102422,,"Replacement, current unit is unable to charge - DELIVERY OF REPLACEMENT LAPTOP AND PICK UP OLD UNIT","Unit 3302, 223 Bonifacio High St, Brgy. Moonwalk, Parañaque City, Metro Manila",9173127353,,,,,,,,
05-01657,"CABRERA, JEROME BAUTISTA",REFRESH (OLD ACER),YONDU101927,SN-NRNELW,,YONDU101927,YONDU101927,,FOR PICK UP,"Unit 302, 35 C-5 Road, Brgy. San Lorenzo, Parañaque City, Metro Manila",,,,,,,,,
05-01797,"GUTIERREZ, JUAN CARLOS TORRES",Use old Lenovo or Acer,YONDU102423,SN-VFTAMP,,YONDU102423,YONDU102423,,Replacement due to battery issue - WAITING CONFIRMATION FROM USER,"Unit 4002, 58 Commonwealth Avenue, Brgy. Poblacion, Makati City, Metro Manila",,,,,,,,,
05-02452,"MENDOZA, ERIKA FLORES",Use Acer (new),YONDU102424,SN-Q3JDEP,,YONDU102424,YONDU102424,,FMC QR Code CR,"Unit 3102, 153 Governor Drive, Brgy. San Antonio, Pasig City, Metro Manila",9203644063,,,,,,,,
,,,,SN-ZH6P5H,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-02451,"NATIVIDAD, FRANCIS RAMOS",MACBOOK - use Gio Peralta's old macbook,YONDU102161,SN-DDHMS0,,YONDU102161,YONDU102161,,Laptop replacement (Windows to MacOS) - TRANSPORTIFY 10/4/22 (PULL OUT OLD LAPTOP),"Unit 1902, 131 Alabang-Zapote Road, Brgy. BF Homes, Makati City, Metro Manila",9271972686,,,,,,,,
05-01116,"CASTRO, PATRICK OLIVER AQUINO",Use E490,YONDU102232,PF-BD015S,,YONDU102232,YONDU102232,,Not turning ON (beep code),"Unit 302, 170 Shaw Boulevard, Brgy. Poblacion, Muntinlupa City, Metro Manila",,,,,,,,,
05-02468,"PANGANIBAN, STEPHANIE MERCADO",replacement - use Acer (old) / E14 or L14,YONDU102388,SN-VEFK2E,,YONDU102388,YONDU102388,,PULL OUT LAPTOP,"Unit 1102, 181 Marcos Highway, Brgy. San Antonio, Makati City, Metro Manila",9205206288,,,,,,,,
05-04991,"CRUZ, PATRICK OLIVER DELA CRUZ",REFRESH - Acer (New),YONDU102425,SN-YSWF4T,,YONDU102425,YONDU102425,,SITE PICK UP 10/13/22,,,,,,,,,,
05-02814,"GUTIERREZ, KATRINA MERCADO",REFRESH - Acer (New),YONDU102426,SN-3GKCZQ,,YONDU102426,YONDU102426,,SITE PICK UP 10/14/22,,,,,,,,,,
05-01118,"DAVID, JEROME TORRES",Use old Lenovo or Acer,YONDU101377,SN-VEKUNF,,YONDU101377,YONDU101377,,FOR AXA CONFIGURATION - REPLACEMENT (EOL current laptop) - SITE PICK UP 10/4/22,"Unit 1502, 183 Commonwealth Avenue, Brgy. San Lorenzo, Santa Rosa City, Laguna",,,,,,,,,
05-02468,"DE LEON, CHRISTINE JOY BAUTISTA",Use Acer (new),YONDU101982,SN-HPPNQN,,YONDU101982,YONDU101982,,917V,"Unit 1002, 112 Alabang-Zapote Road, Brgy. Kapitolyo, Pasig City, Metro Manila",9180846358,,,,,,,,
05-02468,"CORPUZ, ROCHELLE RAMOS",Use Acer (new),YONDU101975,SN-U68YWQ,,YONDU101975,YONDU101975,,MS-PCM,,9177325808,,,,,,,,
05-02468,"DEL ROSARIO, DOMINIC MERCADO",Use Acer (new),YONDU102427,SN-F14Q6K,,YONDU102427,YONDU102427,,EDO,"Unit 1802, 185 Aguinaldo Highway, Brgy. Palanan, Imus City, Cavite",9271392677,,,,,,,,
05-02469,"ATIENZA, JOHN PAUL RIVERA",Use old Lenovo or Acer,YONDU101628,PF-D524MX,,YONDU101628,YONDU101628,,Internal Recruitment,"Unit 3702, 207 Aurora Boulevard, Brgy. Alabang, Las Piñas City, Metro Manila",9662003119,,,,,,,,
05-02472,"TORRES, PATRICK OLIVER GARCIA",Use Acer (new),YONDU101910,SN-79XWEM,,YONDU101910,YONDU101910,,Tech Cluster 3,"Unit 1702, 113 Boni Avenue, Brgy. Ugong, Taguig City, Metro Manila",9208380830,,,,,,,,
05-06735,"EVANGELISTA, MARK ANTHONY VILLANUEVA",Use old Lenovo or Acer,YONDU101739,SN-KGZKSR,,YONDU101739,YONDU101739,,New Biz Deployed - C2,"Unit 3102, 127 Governor Drive, Brgy. Loyola Heights, Calamba City, Laguna",9274428303,,,,,,,,
05-06735,"DOMINGO, ANGELA MAE RAMOS",Use old Lenovo or Acer,YONDU101642,SN-78UTV2,,YONDU101642,YONDU101642,,New Biz Deployed,"Unit 1602, 23 Commonwealth Avenue, Brgy. San Antonio, Muntinlupa City, Metro Manila",9277001520,,,,,,,,
05-01683,"RAMOS, ADRIAN FLORES",Use old Lenovo or Acer,YONDU100009,SN-SQ0VVY,,YONDU100009,YONDU100009,,Laptop replacement due to hinge problem - SITE PICK UP 10/4/22,"Unit 1502, 183 Commonwealth Avenue, Brgy. San Lorenzo, Santa Rosa City, Laguna",,,,,,,,,
05-03032,"CASTRO, MARIA CLARA LOPEZ",Use old Lenovo or Acer,YONDU102428,PF-1175GN,,YONDU102428,YONDU102428,,Replacement (no power) - SITE PICK UP 10/4/22,"Unit 1502, 183 Commonwealth Avenue, Brgy. San Lorenzo, Santa Rosa City, Laguna",,,,,,,,,
05-02428,"SALAZAR, STEPHANIE SANTOS",MacBook - Use 917V old macbook (TEMP LAPTOP ONLY),102429,SN-B792GP,,102429,102429,,Replacement from windows to macOS (Temp Laptop only while waiting for the repair of macbooks) - SITE PICK UP 10/6/22,"Unit 402, 67 Rizal Avenue, Brgy. Pinyahan, Muntinlupa City, Metro Manila",,,,,,,,,
05-01634,"MIRANDA, ALEXANDER MENDOZA",Use 14s or E14,YONDU101722,PF-DUEB27,,YONDU101722,YONDU101722,,replacement due to hinge issue - SITE PICK UP 10/7/22,"Unit 1802, 8 Aguinaldo Highway, Brgy. Kapitolyo, Santa Rosa City, Laguna",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-01118,"DAVID, JEROME TORRES",AXA Configured Laptop,YONDU101377,SN-VEKUNF,,YONDU101377,YONDU101377,,AXA Configured Laptop - Pick up from AXA and delivery to resource - TRANSPORTIFY 10/7/22,"Unit 3902, 87 Governor Drive, Brgy. Moonwalk, Quezon City, Metro Manila",9183390500,,,,,,,,
05-01051,"ALCANTARA, DANIEL JOSEPH DELA CRUZ",REFRESH - Acer (New),YONDU102430,SN-4CP825,,YONDU102430,YONDU102430,,SITE PICK UP 10/7/22,"Unit 1802, 8 Aguinaldo Highway, Brgy. Kapitolyo, Santa Rosa City, Laguna",,,,,,,,,
05-02449,"DAVID, CHRISTINE JOY SANTOS",MONITOR,YONDU102431,SN-AWGTAG,,YONDU102431,YONDU102431,,MONITOR (Marketing) - TRANSPORTIFY 10/10/22,"Unit 2202, 123 Aguinaldo Highway, Brgy. Loyola Heights, Imus City, Cavite",9661774542,,,,,,,,
05-02448,"CORTEZ, JOHN PAUL VILLANUEVA",MONITOR,YONDU102432,SN-WBATLK,,YONDU102432,YONDU102432,,MONITOR (Marketing) - SITE PICK UP 10/7/22,"Unit 1802, 8 Aguinaldo Highway, Brgy. Kapitolyo, Santa Rosa City, Laguna",,,,,,,,,
05-01636,"MIRANDA, CAMILLE SANTOS",Use old Lenovo or Acer,YONDU101452,SN-4DJQLN,,YONDU101452,YONDU101452,,Replacement due to LCD issue - SITE PICK UP 10/7/22,"Unit 1802, 8 Aguinaldo Highway, Brgy. Kapitolyo, Santa Rosa City, Laguna",,,,,,,,,
05-01725,"ATIENZA, BEATRICE LOPEZ",Use old Lenovo or Acer,YONDU101697,PF-Z1PAP1,,YONDU101697,YONDU101697,,Replacement due to hinge/lcd cover issue - SITE PICK UP 10/7/22,"Unit 1802, 8 Aguinaldo Highway, Brgy. Kapitolyo, Santa Rosa City, Laguna",,,,,,,,,
,,,,SN-AH04F5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-01796,"SALAZAR, KENNETH TORRES",REFRESH - Acer (New),YONDU102433,SN-R5GKV3,,YONDU102433,YONDU102433,,SITE PICK UP 10/26/22,"Unit 2502, 130 Ayala Avenue, Brgy. Poblacion, Las Piñas City, Metro Manila",,,,,,,,,
05-02359,"HERNANDEZ, MONIQUE AQUINO",REFRESH - Acer (New),YONDU102434,SN-1K8E77,,YONDU102434,YONDU102434,,SITE PICK UP 10/14/22,"Unit 3202, 54 Ortigas Avenue, Brgy. Pinyahan, Bacoor City, Cavite",,,,,,,,,
05-01096,"DAVID, CAMILLE FLORES",REFRESH - Acer (New),YONDU102435,SN-1Q06D2,,YONDU102435,YONDU102435,,SITE PICK UP 10/14/22,"Unit 3202, 54 Ortigas Avenue, Brgy. Pinyahan, Bacoor City, Cavite",,,,,,,,,
05-01817,"CASTRO, PAULO MIGUEL FLORES",REFRESH - Acer (New),YONDU102436,SN-07SAUQ,,YONDU102436,YONDU102436,,SITE PICK UP 10/14/22,"Unit 3202, 54 Ortigas Avenue, Brgy. Pinyahan, Bacoor City, Cavite",,,,,,,,,
05-01097,"NAVARRO, CHRISTINE JOY DELA CRUZ",2021 Refresh (Old Acer 2021 or E14/L14),YONDU102394,PF-NY2G8Z,,YONDU102394,YONDU102394,,pick up 10/10/2022,,,,,,,,,,
05-02469,"PADILLA, KENNETH BAUTISTA",Use Acer (new) *,YONDU102437,SN-S1J2W3,,YONDU102437,YONDU102437,,MS DGT L3,"Unit 3002, 218 Boni Avenue, Brgy. Poblacion, Bacoor City, Cavite",9201294049,,,,,,,,
05-02471,"RIVERA, KATHERINE ROSE SANTOS",Use Acer (new),YONDU102438,SN-C1C34N,,YONDU102438,YONDU102438,,NTG - IATF,"Unit 502, 7 Rizal Avenue, Brgy. Palanan, Quezon City, Metro Manila",9050520807,,,,,,,,
05-02471,"BERNARDO, ERIKA AQUINO",Use old Lenovo or Acer,YONDU102243,SN-U37YYK,,YONDU102243,YONDU102243,,DSG Prod Support,"Unit 3602, 74 Governor Drive, Brgy. Ugong, Parañaque City, Metro Manila",9278638709,,,,,,,,
05-02472,"RAMOS, ALYSSA MARIE CASTILLO",Use old Lenovo or Acer,YONDU101284,SN-WN9Z24,,YONDU101284,YONDU101284,,ESG - Cluster 3,"Unit 2102, 211 Aguinaldo Highway, Brgy. Greenhills, Las Piñas City, Metro Manila",9279786829,,,,,,,,
05-02473,"PANGANIBAN, CAMILLE VILLANUEVA",Use Acer (new),YONDU102439,SN-BHQ4WZ,,YONDU102439,YONDU102439,,DGT Squad 2 - TRANSPORTIFY 10/13/22,"Unit 3502, 160 Aguinaldo Highway, Brgy. Kapitolyo, Taguig City, Metro Manila",9178852206,,,,,,,,
05-02473,"CORPUZ, ERIKA MENDOZA",Use old Lenovo or Acer,YONDU101465,SN-XUQJ92,,YONDU101465,YONDU101465,,MYNT,"Unit 3002, 120 Boni Avenue, Brgy. Pinyahan, Taguig City, Metro Manila",9666843749,,,,,,,,
05-02469,"VILLANUEVA, ERIKA GARCIA",Use Acer (new) *,YONDU102440,SN-G2DLGE,,YONDU102440,YONDU102440,,EG,"Unit 2902, 92 Shaw Boulevard, Brgy. Bel-Air, Parañaque City, Metro Manila",9203647508,,,,,,,,
05-02470,"LAXAMANA, GABRIEL TORRES",Use Acer (new),YONDU102441,SN-ABQHE9,,YONDU102441,YONDU102441,,Globe Finance - RMO,"Unit 3902, 160 C-5 Road, Brgy. Pinyahan, Bacoor City, Cavite",9270964554,,,,,,,,
05-02473,"DEL ROSARIO, DENISE GARCIA",Use old Lenovo or Acer,YONDU102442,SN-BBJ3BV,,YONDU102442,YONDU102442,,NTG,"Unit 1302, 11 Katipunan Avenue, Brgy. Bel-Air, Mandaluyong City, Metro Manila",9180661326,,,,,,,,
05-02474,"BAUTISTA, BIANCA GARCIA",Use old Lenovo or Acer,YONDU102159,SN-F9GYUB,,YONDU102159,YONDU102159,,TPS - SOC,"Unit 2802, 132 Shaw Boulevard, Brgy. Alabang, Bacoor City, Cavite",9278829825,,,,,,,,
05-02474,"FERNANDEZ, LOVELY RAMOS",Use old Lenovo or Acer,YONDU102068,SN-WR31F0,,YONDU102068,YONDU102068,,IT&S,"Unit 1002, 114 C-5 Road, Brgy. Bel-Air, Calamba City, Laguna",9667669155,,,,,,,,
05-02474,"SORIANO, JOSHUA TORRES",Use Acer (new),YONDU102443,SN-PP26UR,,YONDU102443,YONDU102443,,Digital Growth,"Unit 3402, 109 Boni Avenue, Brgy. Palanan, Calamba City, Laguna",9663281946,,,,,,,,
05-02474,"AGUILAR, MARK ANTHONY MENDOZA",Use Acer (new),YONDU102444,SN-H4BSYT,,YONDU102444,YONDU102444,,EDO,"Unit 3402, 84 Rizal Avenue, Brgy. Poblacion, Bacoor City, Cavite",9200292218,,,,,,,,
05-02474,"EVANGELISTA, RAFAEL TORRES",Use Acer (new),YONDU102445,SN-PUUX0L,,YONDU102445,YONDU102445,,RUSH - TRANSPORTIFY 10/13/22,"Unit 402, 219 Bonifacio High St, Brgy. Moonwalk, Muntinlupa City, Metro Manila",9184923406,,,,,,,,
05-02474,"TOLENTINO, PATRICIA ANNE CRUZ",Use Acer (new),YONDU102446,SN-A27D3Y,,YONDU102446,YONDU102446,,IT&S,"Unit 1002, 120 Marcos Highway, Brgy. San Lorenzo, Mandaluyong City, Metro Manila",9174984488,,,,,,,,
05-02474,"OCAMPO, JOSHUA AQUINO",Use old Lenovo or Acer,YONDU102283,SN-7C3CJ1,,YONDU102283,YONDU102283,,PCM,"Unit 3402, 42 Bonifacio High St, Brgy. BF Homes, Pasig City, Metro Manila",9058037972,,,,,,,,
05-02474,"FERNANDEZ, ERIKA FLORES",Use old Lenovo or Acer *,YONDU102309,SN-W02T9U,,YONDU102309,YONDU102309,,DGT,"Unit 2202, 70 Commonwealth Avenue, Brgy. Ugong, Muntinlupa City, Metro Manila",9201917692,,,,,,,,
05-02474,"DOMINGO, GABRIEL TORRES",Use old Lenovo or Acer,YONDU101796,SN-5LLB73,,YONDU101796,YONDU101796,,MES - CXS,"Unit 1702, 240 Alabang-Zapote Road, Brgy. Moonwalk, Pasig City, Metro Manila",9181263918,,,,,,,,
05-02490,"RIVERA, FRANCIS GARCIA",Use Acer (new),YONDU102447,SN-G22WNY,,YONDU102447,YONDU102447,,NTG- IATF,"Unit 2602, 171 Katipunan Avenue, Brgy. Poblacion, Mandaluyong City, Metro Manila",9056967969,,,,,,,,
05-01796,"MALABANAN, SOFIA FERNANDEZ",Use old Lenovo or Acer,YONDU102448,SN-BUG76D,,YONDU102448,YONDU102448,,no power - SITE PICK UP 10/11/22,"Unit 1802, 84 Bonifacio High St, Brgy. Greenhills, Imus City, Cavite",9058868462,,,,,,,,
05-02449,"DAVID, CHRISTINE JOY SANTOS",MONITOR (Replacement),YONDU102449,SN-44JY3G,,YONDU102449,YONDU102449,,MONITOR (Marketing) - TRANSPORTIFY 10/13/22 (pullout defective monitor),"Unit 2202, 123 Aguinaldo Highway, Brgy. Loyola Heights, Imus City, Cavite",9661774542,,,,,,,,
05-01797,"GUTIERREZ, JUAN CARLOS TORRES",Use old Lenovo or Acer,YONDU102012,SN-H7WCDD,,YONDU102012,YONDU102012,,Replacement due to battery issue - SITE PICK UP 10/12/22,"Unit 402, 170 Katipunan Avenue, Brgy. Bel-Air, Pasig City, Metro Manila",,,,,,,,,
05-02337,"MERCADO, MONIQUE AQUINO",MACBOOK,,,,,,,MACBOOK PICK UP FROM AXA - DELIVER TO RESOURCE,"Unit 2502, 196 Boni Avenue, Brgy. San Lorenzo, Imus City, Cavite",9272030206,,,,,,,,
,,,,SN-GZFGQZ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-01115,"RIVERA, MICHAEL ANGELO RIVERA",REFRESH - Acer (New),YONDU100015,SN-2EBGPV,,YONDU100015,YONDU100015,,SITE PICK UP 10/28/22,"Unit 1302, 14 Aguinaldo Highway, Brgy. San Lorenzo, Mandaluyong City, Metro Manila",,,,,,,,,
05-02360,"BERNARDO, SOFIA MERCADO",REFRESH - Acer (New),YONDU102450,SN-03PUTD,,YONDU102450,YONDU102450,,SITE PICK UP 10/17/22,"Unit 3502, 129 C-5 Road, Brgy. Loyola Heights, Bacoor City, Cavite",,,,,,,,,
05-01115,"CORTEZ, DIANNE LOPEZ",REFRESH - Acer (New),YONDU102451,SN-81X4RP,,YONDU102451,YONDU102451,,SITE PICK UP 10/27/22,,,,,,,,,,
05-02822,"ESGUERRA, ROCHELLE MERCADO",REFRESH - Acer (New),YONDU102452,SN-A7S0EA,,YONDU102452,YONDU102452,,SITE PICK UP 10/20/22,,,,,,,,,,
05-04587,"CASTILLO, JOSHUA RIVERA",REFRESH - Acer (New),YONDU102453,SN-R0QTP7,,YONDU102453,YONDU102453,,SITE PICK UP 10/19/22,,,,,,,,,,
05-04980,"MAGNO, CHARLENE DELA CRUZ",REFRESH - Acer (New),YONDU102454,SN-PYHRXZ,,YONDU102454,YONDU102454,,SITE PICK UP 10/25/22,,,,,,,,,,
05-09790,"TORRES, JASMIN CASTILLO",REFRESH - Acer (New),YONDU102455,SN-UD6PSL,,YONDU102455,YONDU102455,,SITE PICK UP 10/28/22,,,,,,,,,,
05-04650,"AQUINO, JUAN CARLOS GARCIA",REFRESH - Acer (New),YONDU102456,SN-QZSM7U,,YONDU102456,YONDU102456,,SITE PICK UP 10/19/22,,,,,,,,,,
05-01730,"FLORES, CHARLENE FERNANDEZ",Use old Lenovo or Acer,YONDU101690,SN-42MMQ5,,YONDU101690,YONDU101690,,Replacement due to battery issue - SITE PICK UP 10/17/22,"Unit 3502, 129 C-5 Road, Brgy. Loyola Heights, Bacoor City, Cavite",,,,,,,,,
05-05058,"EVANGELISTA, PATRICIA ANNE SANTOS","Use old Lenovo ",YONDU101416,SN-WT3DF5,,YONDU101416,YONDU101416,,Replacement due to severe noise inside the device - SITE PICK UP 10/17/22,"Unit 3502, 129 C-5 Road, Brgy. Loyola Heights, Bacoor City, Cavite",,,,,,,,,
05-02334,"LAXAMANA, BIANCA GARCIA",Use old Lenovo or Acer,YONDU101832,PF-D113B1,,YONDU101832,YONDU101832,,replacement due to keyboard problem and hinge - SITE PICK UP 10/17/22,"Unit 3502, 129 C-5 Road, Brgy. Loyola Heights, Bacoor City, Cavite",,,,,,,,,
05-01073,"CORPUZ, JEROME AQUINO",Use old Lenovo or Acer,YONDU102457,PF-K4ZHFN,,YONDU102457,YONDU102457,,"replacement due to no power issue - site pick up ",,,,,,,,,,
05-01093,"CABRERA, SOFIA DELA CRUZ",Lenovo 14S,YONDU102458,SN-7N9DM7,,YONDU102458,YONDU102458,,BSOD issue,"Unit 3502, 129 C-5 Road, Brgy. Loyola Heights, Bacoor City, Cavite",,,,,,,,,
05-02490,"DEL ROSARIO, JOSHUA CASTILLO",Use old Lenovo or Acer,YONDU101383,SN-PCYLWH,,YONDU101383,YONDU101383,,DSG,"Unit 902, 216 Bonifacio High St, Brgy. Bel-Air, Muntinlupa City, Metro Manila",9185112156,,,,,,,,
05-02470,"CORPUZ, MARIA CLARA LOPEZ",Acer (New),YONDU101898,SN-HD011J,,YONDU101898,YONDU101898,,HR,"Unit 402, 119 Aguinaldo Highway, Brgy. Moonwalk, Parañaque City, Metro Manila",9173675874,,,,,,,,
05-02471,"GONZALES, JEROME GARCIA",Use old Lenovo or Acer *,YONDU101243,SN-LEYRKZ,,YONDU101243,YONDU101243,,MES - PureGo,"Unit 2102, 173 Shaw Boulevard, Brgy. Bagong Ilog, Mandaluyong City, Metro Manila",9201035778,,,,,,,,
05-02473,"MAGNO, MARIA CLARA FLORES",Use old Lenovo or Acer,YONDU101382,SN-797C6L,,YONDU101382,YONDU101382,,Konsulta MD,"Unit 902, 139 Aguinaldo Highway, Brgy. Palanan, Taguig City, Metro Manila",9188323104,,,,,,,,
05-02470,"FLORES, PATRICIA ANNE RAMOS",Acer (New),YONDU101977,SN-M7NNFE,,YONDU101977,YONDU101977,,917 PTD,"Unit 1702, 72 Ortigas Avenue, Brgy. Ugong, Muntinlupa City, Metro Manila",9185374414,,,,,,,,
05-02471,"OCAMPO, DIANNE GARCIA",Acer (New),YONDU102459,SN-VPAS9M,,YONDU102459,YONDU102459,,Troo Life,"Unit 1502, 237 Governor Drive, Brgy. BF Homes, Las Piñas City, Metro Manila",9172895596,,,,,,,,
05-02474,"FRANCISCO, PAULO MIGUEL LOPEZ",Acer (New),YONDU102460,SN-VYPQNF,,YONDU102460,YONDU102460,,Advance Energy,"Unit 3602, 180 Ayala Avenue, Brgy. Wack-Wack, Las Piñas City, Metro Manila",9208531063,,,,,,,,
05-02490,"TOLENTINO, MARIA CLARA MERCADO",Acer (New),YONDU102461,SN-YWUY4S,,YONDU102461,YONDU102461,,Singlife - TRANSPORTIFY 10/20/22,"Unit 2502, 145 Ortigas Avenue, Brgy. Poblacion, Quezon City, Metro Manila",9664249723,,,,,,,,
05-02490,"DOMINGO, JUAN CARLOS CASTILLO",Acer (New),YONDU102462,SN-ERE9SG,,YONDU102462,YONDU102462,,NTG - IATF Requirements,"Unit 3802, 195 Shaw Boulevard, Brgy. Poblacion, Imus City, Cavite",9277391960,,,,,,,,
05-02491,"BERNARDO, LOVELY VILLANUEVA",Acer (New),YONDU102463,SN-963H1H,,YONDU102463,YONDU102463,,MES - PCM,"Unit 602, 93 Alabang-Zapote Road, Brgy. Pinyahan, Mandaluyong City, Metro Manila",9275003181,,,,,,,,
05-02491,"EVANGELISTA, CARLO DELA CRUZ",Acer (New),YONDU102464,SN-3R3VCF,,YONDU102464,YONDU102464,,MES - Singlife (Cluster 3) - TRANSPORTIFY 10/20/22,"Unit 3602, 46 Alabang-Zapote Road, Brgy. Palanan, Muntinlupa City, Metro Manila",9186258777,,,,,,,,
05-02491,"AGUILAR, JEROME CASTILLO",Use old Lenovo or Acer,YONDU102286,SN-FYNTRG,,YONDU102286,YONDU102286,,C1,"Unit 102, 105 Governor Drive, Brgy. Ugong, Mandaluyong City, Metro Manila",9051396876,,,,,,,,
05-02474,"FERNANDEZ, ERIKA FLORES",Use old Lenovo or Acer *,YONDU102465,SN-8M06XV,,YONDU102465,YONDU102465,,Replacement due to BSOD when opening the laptop TRANSPORTIFY 10/20/22 - pull out old laptop,"Unit 2202, 70 Commonwealth Avenue, Brgy. Ugong, Muntinlupa City, Metro Manila",9201917692,,,,,,,,
05-02314,"ALCANTARA, PATRICIA ANNE AQUINO",Use old Lenovo or Acer,YONDU101528,PF-K1UH5C,,YONDU101528,YONDU101528,,TRANSPORTIFY 10/20/22 - pull out old laptop,"Unit 1002, 4 Governor Drive, Brgy. Palanan, Santa Rosa City, Laguna",9183508781,,,,,,,,
05-01706,"CASTILLO, DANIEL JOSEPH TORRES",Use old Lenovo or Acer,YONDU101326,SN-7CCXAR,,YONDU101326,YONDU101326,,Internal Transfer from NewBiz to Tech Group - TPS - SITE PICK UP 10/21/22,"Unit 3302, 172 Aurora Boulevard, Brgy. Palanan, Antipolo City, Rizal",,,,,,,,,
,,,,SN-0AS15H,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-01725,"MIRANDA, VINCENT BAUTISTA",Use old Lenovo or Acer,YONDU102466,SN-WL7A6T,,YONDU102466,YONDU102466,,Internal Transfer from NewBiz to Tech Group (Cluster 3) - SOFA NOVADEC - SITE PICK UP 10/28/22,"Unit 1302, 14 Aguinaldo Highway, Brgy. San Lorenzo, Mandaluyong City, Metro Manila",,,,,,,,,
05-01795,"CABRERA, DOMINIC DELA CRUZ",Use Lenovo (Temp Laptop),YONDU101875,PF-KS3P41,,YONDU101875,YONDU101875,,Temp Windows Laptop (will be replaced with his macbook - currently on vendor for repair) - SITE PICK UP 11/4/22,"Unit 1302, 14 Aguinaldo Highway, Brgy. San Lorenzo, Mandaluyong City, Metro Manila",,,,,,,,,
05-01751,"ALCANTARA, MICHAEL ANGELO RIVERA",Use old Lenovo or Acer,YONDU102467,PF-X2WW9R,,YONDU102467,YONDU102467,,MacBook is currently in the vendor's possession - Windows laptop for deployment - SITE PICK UP 10/24/22,"Unit 3602, 247 Marcos Highway, Brgy. Ugong, Antipolo City, Rizal",,,,,,,,,
05-02426,"MALABANAN, DIANNE MENDOZA",Use old Lenovo or Acer,YONDU102468,SN-7MWUC5,,YONDU102468,YONDU102468,,"Laptop wont turn off, there is still light on LED power button even the screen is off - TRANSPORTIFY 10/27/22","Unit 1902, 213 Bonifacio High St, Brgy. Loyola Heights, Parañaque City, Metro Manila",,,,,,,,,
05-01661,"MORALES, JUAN CARLOS FLORES",Use old Lenovo or Acer,,,,,,,,,,,,,,,,,
05-02492,"FRANCISCO, BIANCA VILLANUEVA",Use old Lenovo or Acer,YONDU101393,SN-414NZK,,YONDU101393,YONDU101393,,MetroBank - SITE PICK UP 10/22/22,"Unit 2702, 171 Aurora Boulevard, Brgy. Greenhills, Calamba City, Laguna",9271840025,,,,,,,,
05-01074,"CRUZ, SOFIA BAUTISTA",REFRESH - Acer (New),YONDU102469,SN-A73Q9R,,YONDU102469,YONDU102469,,SITE PICK UP 10/26/22,,,,,,,,,,
05-04707,"NAVARRO, ANGELO CRUZ",REFRESH - Acer (New),YONDU102470,SN-3K86W2,,YONDU102470,YONDU102470,,SITE PICK UP 10/27/22,,,,,,,,,,
05-02355,"AGUILAR, MARK ANTHONY RIVERA",REFRESH - Acer (New),YONDU102471,SN-UP49SM,,YONDU102471,YONDU102471,,SITE PICK UP 10/25/22,,,,,,,,,,
05-09860,"GUTIERREZ, CARLO FERNANDEZ",REFRESH - Acer (New),YONDU102472,SN-4R48EV,,YONDU102472,YONDU102472,,SITE PICK UP 10/27/22,,,,,,,,,,
05-01612,"RAMOS, KATHERINE ROSE LOPEZ",REFRESH - Acer (New),YONDU102473,SN-7Z8MBW,,YONDU102473,YONDU102473,,SITE PICK UP 11/8/22,,,,,,,,,,
05-09916,"LAXAMANA, DENISE MERCADO",REFRESH - Acer (New),YONDU102474,SN-3BDZPW,,YONDU102474,YONDU102474,,SITE PICK UP 10/28/22,,,,,,,,,,
05-01679,"ILAGAN, JASMIN RAMOS",Use old Lenovo or Acer,YONDU101874,PF-QPSJR4,,YONDU101874,YONDU101874,,replacement due to LCD issue - SITE PICK UP 10/24/22,"Unit 3602, 247 Marcos Highway, Brgy. Ugong, Antipolo City, Rizal",,,,,,,,,
05-02471,"BAUTISTA, JOHN PAUL AQUINO",Acer (New),YONDU102090,SN-GQ6HZA,,YONDU102090,YONDU102090,,DGT FVT Agile Scrum,"Unit 3102, 92 Boni Avenue, Brgy. Loyola Heights, Makati City, Metro Manila",9178918108,,,,,,,,
05-02473,"RIVERA, DANIEL JOSEPH RAMOS",Acer (New),YONDU102475,SN-3FGEQ7,,YONDU102475,YONDU102475,,Mynt - TRANSPORTIFY 10/27/22,"Unit 2402, 118 Marcos Highway, Brgy. Poblacion, Quezon City, Metro Manila",9667408479,,,,,,,,
05-02492,"SALAZAR, ALEXANDER MERCADO",Acer (New),YONDU102205,SN-EHBL9P,,YONDU102205,YONDU102205,,KMD Application Support,"Unit 3902, 201 C-5 Road, Brgy. Pinyahan, Calamba City, Laguna",9051380774,,,,,,,,
05-02492,"REYES, ALEXANDER FLORES",Use old Lenovo or Acer,YONDU101756,SN-FLW8K2,,YONDU101756,YONDU101756,,DSG Ops/NOC - TRANSPORTIFY 10/27/22,"Unit 2902, 170 Alabang-Zapote Road, Brgy. Wack-Wack, Makati City, Metro Manila",9662693168,,,,,,,,
